"Year","MatMort","NeoMort","InfMort","Under5Mort","ISO"
2017,26,6.7,11.3,12.7,"ARM"
2018,NA,6.4,10.8,12.1,"ARM"
2019,NA,6,10.2,11.5,"ARM"
2000,NA,NA,NA,NA,"ASM"
2001,NA,NA,NA,NA,"ASM"
2002,NA,NA,NA,NA,"ASM"
2003,NA,NA,NA,NA,"ASM"
2004,NA,NA,NA,NA,"ASM"
2005,NA,NA,NA,NA,"ASM"
2006,NA,NA,NA,NA,"ASM"
2007,NA,NA,NA,NA,"ASM"
2008,NA,NA,NA,NA,"ASM"
2009,NA,NA,NA,NA,"ASM"
2010,NA,NA,NA,NA,"ASM"
2011,NA,NA,NA,NA,"ASM"
2012,NA,NA,NA,NA,"ASM"
2013,NA,NA,NA,NA,"ASM"
2014,NA,NA,NA,NA,"ASM"
2015,NA,NA,NA,NA,"ASM"
2016,NA,NA,NA,NA,"ASM"
2017,NA,NA,NA,NA,"ASM"
2018,NA,NA,NA,NA,"ASM"
2019,NA,NA,NA,NA,"ASM"
2000,44,9.7,12.6,15.5,"ATG"
2001,44,9.5,12.3,15.1,"ATG"
2002,43,9.3,11.9,14.6,"ATG"
2003,44,8.9,11.5,14.1,"ATG"
2004,41,8.6,11,13.5,"ATG"
2005,40,8.2,10.6,12.9,"ATG"
2006,46,7.7,10.1,12.3,"ATG"
2007,48,7.3,9.6,11.7,"ATG"
2008,50,6.8,9.2,11.1,"ATG"
2009,45,6.3,8.7,10.6,"ATG"
2010,44,5.8,8.3,10,"ATG"
2011,43,5.4,7.9,9.5,"ATG"
2012,44,5.1,7.5,9,"ATG"
2013,43,4.7,7.1,8.5,"ATG"
2014,42,4.5,6.8,8.1,"ATG"
2015,43,4.2,6.5,7.8,"ATG"
2016,43,4.1,6.2,7.4,"ATG"
2017,42,3.9,6,7.1,"ATG"
2018,NA,3.8,5.8,6.9,"ATG"
2019,NA,3.6,5.6,6.6,"ATG"
2000,7,3.5,5.1,6.2,"AUS"
2001,6,3.5,5,6.1,"AUS"
2002,6,3.4,5,6,"AUS"
2003,6,3.4,4.9,5.9,"AUS"
2004,5,3.3,4.8,5.8,"AUS"
2005,5,3.2,4.8,5.7,"AUS"
2006,5,3.1,4.7,5.6,"AUS"
2007,5,3,4.5,5.4,"AUS"
2008,5,2.9,4.4,5.2,"AUS"
2009,5,2.8,4.2,5,"AUS"
2010,5,2.7,4,4.8,"AUS"
2011,6,2.6,3.8,4.5,"AUS"
2012,6,2.5,3.6,4.3,"AUS"
2013,6,2.4,3.5,4.1,"AUS"
2014,6,2.4,3.4,4,"AUS"
2015,6,2.3,3.3,3.9,"AUS"
2016,6,2.3,3.2,3.8,"AUS"
2017,6,2.3,3.2,3.8,"AUS"
2018,NA,2.3,3.2,3.7,"AUS"
2019,NA,2.4,3.2,3.7,"AUS"
2000,6,3.1,4.6,5.5,"AUT"
2001,6,3.1,4.5,5.4,"AUT"
2002,6,3.1,4.4,5.3,"AUT"
2003,6,3,4.3,5.2,"AUT"
2004,5,2.9,4.2,5.1,"AUT"
2005,6,2.8,4.1,4.9,"AUT"
2006,5,2.8,3.9,4.7,"AUT"
2007,5,2.7,3.8,4.6,"AUT"
2008,5,2.6,3.8,4.5,"AUT"
2009,5,2.6,3.7,4.5,"AUT"
2010,5,2.5,3.6,4.3,"AUT"
2011,5,2.4,3.5,4.2,"AUT"
2012,5,2.4,3.3,4,"AUT"
2013,5,2.3,3.2,3.9,"AUT"
2014,5,2.3,3.1,3.8,"AUT"
2015,5,2.2,3,3.7,"AUT"
2016,5,2.2,3,3.6,"AUT"
2017,5,2.2,2.9,3.6,"AUT"
2018,NA,2.2,2.9,3.6,"AUT"
2019,NA,2.3,2.9,3.6,"AUT"
2000,47,34.3,60.9,74.4,"AZE"
2001,44,32.8,57.2,69.3,"AZE"
2002,43,31.3,53.5,64.3,"AZE"
2003,44,29.8,50.1,59.7,"AZE"
2004,39,28.3,47,55.6,"AZE"
2005,42,26.8,44.1,51.9,"AZE"
2006,35,25.5,41.5,48.6,"AZE"
2007,34,24.1,39.1,45.5,"AZE"
2008,32,22.8,36.8,42.7,"AZE"
2009,32,21.6,34.7,39.9,"AZE"
2010,31,20.3,32.5,37.3,"AZE"
2011,30,18.8,30.5,34.9,"AZE"
2012,29,17.3,28.5,32.5,"AZE"
2013,28,16,26.7,30.3,"AZE"
2014,28,14.7,24.9,28.2,"AZE"
2015,27,13.5,23.3,26.3,"AZE"
2016,26,12.5,21.8,24.5,"AZE"
2017,26,11.7,20.3,22.8,"AZE"
2018,NA,10.9,19.2,21.5,"AZE"
2019,NA,10.4,18.2,20.4,"AZE"
2000,1010,36.6,94.7,154.5,"BDI"
2001,956,36,91.9,149.4,"BDI"
2002,925,35.4,88.9,143.8,"BDI"
2003,890,34.8,85.7,138.1,"BDI"
2004,844,34.1,82.3,131.9,"BDI"
2005,814,33.2,78.4,124.9,"BDI"
2006,785,32.3,74.4,117.6,"BDI"
2007,756,31.3,70.4,110.5,"BDI"
2008,733,30.2,66.5,103.6,"BDI"
2009,698,29.2,62.9,97.1,"BDI"
2010,665,28.2,59.4,91,"BDI"
2011,635,27.1,56.3,85.5,"BDI"
2012,608,26.1,53.4,80.3,"BDI"
2013,591,25.2,50.7,75.5,"BDI"
2014,576,24.4,48.2,71.3,"BDI"
2015,568,23.6,46.2,67.6,"BDI"
2016,558,23,44.4,64.4,"BDI"
2017,548,22.4,42.7,61.5,"BDI"
2018,NA,21.8,41.3,59,"BDI"
2019,NA,21.3,39.9,56.6,"BDI"
2000,8,3,4.8,5.8,"BEL"
2001,8,2.8,4.6,5.6,"BEL"
2002,7,2.8,4.4,5.4,"BEL"
2003,7,2.7,4.3,5.2,"BEL"
2004,7,2.7,4.2,5.1,"BEL"
2005,7,2.6,4,4.9,"BEL"
2006,7,2.6,4,4.8,"BEL"
2007,7,2.5,3.9,4.7,"BEL"
2008,7,2.5,3.8,4.6,"BEL"
2009,6,2.4,3.7,4.5,"BEL"
2010,6,2.3,3.6,4.4,"BEL"
2011,6,2.3,3.6,4.4,"BEL"
2012,6,2.3,3.5,4.3,"BEL"
2013,6,2.3,3.4,4.2,"BEL"
2014,6,2.3,3.3,4.1,"BEL"
2015,5,2.3,3.3,4.1,"BEL"
2016,5,2.3,3.3,4.1,"BEL"
2017,5,2.3,3.3,4.1,"BEL"
2018,NA,2.4,3.4,4.2,"BEL"
2019,NA,2.4,3.4,4.2,"BEL"
2000,520,39,85,136.8,"BEN"
2001,516,38.3,83.3,133.7,"BEN"
2002,511,37.6,81.5,130.5,"BEN"
2003,510,36.8,79.8,127.4,"BEN"
2004,505,36.2,78.2,124.4,"BEN"
2005,500,35.8,76.5,121.5,"BEN"
2006,493,35.3,75,118.8,"BEN"
2007,486,35,73.6,116.2,"BEN"
2008,480,34.6,72.2,113.7,"BEN"
2009,471,34.3,70.9,111.3,"BEN"
2010,464,33.9,69.6,109,"BEN"
2011,458,33.5,68.3,106.7,"BEN"
2012,450,33.1,67,104.4,"BEN"
2013,441,32.7,65.7,102.1,"BEN"
2014,432,32.3,64.4,99.8,"BEN"
2015,421,31.9,63.2,97.6,"BEN"
2016,408,31.5,61.9,95.4,"BEN"
2017,397,31.1,60.6,93.2,"BEN"
2018,NA,30.6,59.3,90.9,"BEN"
2019,NA,30.2,57.9,88.4,"BEN"
2000,516,40.7,90.9,178.9,"BFA"
2001,501,39.9,89.3,174.9,"BFA"
2002,486,39.2,87.6,170.4,"BFA"
2003,471,38.3,85.5,165.3,"BFA"
2004,454,37.2,83.3,159.5,"BFA"
2005,437,36,80.8,153.1,"BFA"
2006,422,34.8,78.1,146.3,"BFA"
2007,410,33.7,75.4,139.5,"BFA"
2008,401,32.7,72.7,132.9,"BFA"
2009,393,31.9,70.3,126.9,"BFA"
2010,385,31.2,68.1,121.5,"BFA"
2011,377,30.5,66.3,116.9,"BFA"
2012,369,29.9,64.4,112.5,"BFA"
2013,362,29.3,62.7,108.3,"BFA"
2014,353,28.8,61.2,104.5,"BFA"
2015,343,28.2,59.6,100.9,"BFA"
2016,331,27.7,58.2,97.5,"BFA"
2017,320,27.3,56.7,94.1,"BFA"
