"conflict_id","ISO","year","best","binaryconflict"
333,"AFG",2005,0,0
333,"AFG",2005,4,0
333,"AFG",2005,3,0
333,"AFG",2005,5,0
333,"AFG",2005,6,0
333,"AFG",2005,1,0
333,"AFG",2005,2,0
333,"AFG",2005,2,0
333,"AFG",2005,0,0
333,"AFG",2005,1,0
333,"AFG",2005,0,0
333,"AFG",2005,3,0
333,"AFG",2005,0,0
333,"AFG",2005,1,0
333,"AFG",2005,1,0
333,"AFG",2005,12,0
333,"AFG",2005,0,0
333,"AFG",2005,11,0
333,"AFG",2005,3,0
333,"AFG",2005,1,0
333,"AFG",2005,5,0
333,"AFG",2005,1,0
333,"AFG",2005,4,0
333,"AFG",2005,1,0
333,"AFG",2005,2,0
333,"AFG",2005,2,0
333,"AFG",2005,0,0
333,"AFG",2005,1,0
333,"AFG",2005,4,0
333,"AFG",2005,0,0
333,"AFG",2005,1,0
333,"AFG",2005,3,0
333,"AFG",2005,6,0
333,"AFG",2005,1,0
333,"AFG",2005,1,0
333,"AFG",2005,1,0
333,"AFG",2005,6,0
333,"AFG",2005,6,0
333,"AFG",2005,0,0
333,"AFG",2005,0,0
333,"AFG",2005,0,0
333,"AFG",2005,5,0
333,"AFG",2005,5,0
333,"AFG",2005,2,0
333,"AFG",2005,1,0
333,"AFG",2005,8,0
333,"AFG",2005,26,1
333,"AFG",2005,0,0
333,"AFG",2005,1,0
333,"AFG",2005,4,0
333,"AFG",2005,3,0
333,"AFG",2005,4,0
333,"AFG",2005,2,0
333,"AFG",2005,5,0
333,"AFG",2005,8,0
333,"AFG",2005,2,0
333,"AFG",2005,21,0
333,"AFG",2005,0,0
333,"AFG",2005,2,0
333,"AFG",2005,0,0
333,"AFG",2005,1,0
333,"AFG",2005,2,0
333,"AFG",2005,2,0
333,"AFG",2005,2,0
333,"AFG",2005,5,0
333,"AFG",2005,9,0
333,"AFG",2005,1,0
333,"AFG",2005,3,0
333,"AFG",2005,6,0
333,"AFG",2005,9,0
333,"AFG",2005,27,1
333,"AFG",2005,12,0
333,"AFG",2005,9,0
333,"AFG",2005,1,0
333,"AFG",2005,0,0
333,"AFG",2005,7,0
333,"AFG",2005,0,0
333,"AFG",2005,0,0
333,"AFG",2005,0,0
333,"AFG",2005,3,0
333,"AFG",2005,8,0
333,"AFG",2005,0,0
333,"AFG",2005,0,0
333,"AFG",2005,24,0
333,"AFG",2005,1,0
333,"AFG",2005,4,0
333,"AFG",2005,1,0
333,"AFG",2005,2,0
333,"AFG",2005,5,0
333,"AFG",2005,5,0
333,"AFG",2005,0,0
333,"AFG",2005,1,0
333,"AFG",2005,0,0
333,"AFG",2005,3,0
333,"AFG",2005,0,0
333,"AFG",2005,2,0
333,"AFG",2005,1,0
333,"AFG",2005,4,0
333,"AFG",2005,0,0
333,"AFG",2005,0,0
333,"AFG",2005,4,0
333,"AFG",2005,4,0
333,"AFG",2005,7,0
333,"AFG",2005,1,0
333,"AFG",2005,1,0
333,"AFG",2005,6,0
333,"AFG",2005,1,0
333,"AFG",2005,3,0
333,"AFG",2005,3,0
333,"AFG",2005,1,0
333,"AFG",2005,10,0
333,"AFG",2005,7,0
